Size	Pair	Avg. RTT	Std. Deviation
32	1	0.00007355555556	0.00018298154801
32	2	0.00001800000000	0.00003121609272
32	3	0.00003811111111	0.00008311363633
32	4	0.00002588888889	0.00005595721470
64	1	0.00000644444444	0.00000068493489
64	2	0.00000700000000	0.00000047140452
64	3	0.00000633333333	0.00000105409255
64	4	0.00000700000000	0.00000047140452
128	1	0.00000655555556	0.00000095581392
128	2	0.00000711111111	0.00000087488976
128	3	0.00000988888889	0.00000959681017
128	4	0.00000700000000	0.00000094280904
256	1	0.00000966666667	0.00000473755680
256	2	0.00000933333333	0.00000047140452
256	3	0.00000844444444	0.00000049690399
256	4	0.00000933333333	0.00000115470054
512	1	0.00000900000000	0.00000081649658
512	2	0.00001144444444	0.00000411261234
512	3	0.00000933333333	0.00000047140452
512	4	0.00001255555556	0.00000725888132
1024	1	0.00001133333333	0.00000047140452
1024	2	0.00001200000000	0.00000066666667
1024	3	0.00001122222222	0.00000041573971
1024	4	0.00001177777778	0.00000062853936
2048	1	0.00001466666667	0.00000105409255
2048	2	0.00001588888889	0.00000087488976
2048	3	0.00001511111111	0.00000166295884
2048	4	0.00001533333333	0.00000066666667
4096	1	0.00002155555556	0.00000901986833
4096	2	0.00002077777778	0.00000131468440
4096	3	0.00001900000000	0.00000066666667
4096	4	0.00002000000000	0.00000066666667
8192	1	0.00010777777778	0.00016747588734
8192	2	0.00002311111111	0.00000056655772
8192	3	0.00002655555556	0.00000444999653
8192	4	0.00002344444444	0.00000049690399
16384	1	0.00003611111111	0.00000152347880
16384	2	0.00003588888889	0.00000435748257
16384	3	0.00003666666667	0.00000487624628
16384	4	0.00003500000000	0.00000094280904
32768	1	0.00005366666667	0.00000618241233
32768	2	0.00008277777778	0.00008919364424
32768	3	0.00005122222222	0.00000131468440
32768	4	0.00010200000000	0.00014425209415
65536	1	0.00008400000000	0.00000501109879
65536	2	0.00008211111111	0.00000087488976
65536	3	0.00011500000000	0.00008365670591
65536	4	0.00008244444444	0.00000083147942
131072	1	0.00014388888889	0.00000428030229
131072	2	0.00014611111111	0.00000073702773
131072	3	0.00014522222222	0.00000113311545
131072	4	0.00014666666667	0.00000336650165
262144	1	0.00026544444444	0.00000068493489
262144	2	0.00027333333333	0.00000115470054
262144	3	0.00027188888889	0.00000223330569
262144	4	0.00027288888889	0.00000099380799
524288	1	0.00051188888889	0.00000109994388
524288	2	0.00052833333333	0.00000169967317
524288	3	0.00052455555556	0.00000416629628
524288	4	0.00052622222222	0.00000154759870
1048576	1	0.00100277777778	0.00000103040206
1048576	2	0.00103755555556	0.00000125707872
1048576	3	0.00102744444444	0.00000240883149
1048576	4	0.00103355555556	0.00000177081972
2097152	1	0.00198988888889	0.00001254719486
2097152	2	0.00205744444444	0.00000298556197
2097152	3	0.00203400000000	0.00000133333333
2097152	4	0.00204688888889	0.00000409456128
